produce_type,temperature_c,humidity_pct,storage_area,packaging_material,freshness_pct,remaining_shelf_life_days
Apple,1.8,83.6,fridge,unpackaged,84.5,30.52
Apple,21.2,44.6,pantry,plastic_wrap,54.7,0.33
Apple,22.8,48.9,pantry,sealed_container,95.9,0.65
Apple,19.4,58.3,pantry,unpackaged,62.9,0.6
Apple,1.8,93.3,fridge,plastic_wrap,93.0,36.95
Apple,4.5,97.8,fridge,perforated_bag,61.2,12.69
Apple,5.6,83.8,fridge,sealed_container,82.4,17.64
Apple,1.6,77.6,fridge,perforated_bag,71.4,15.08
Apple,6.9,93.5,fridge,unpackaged,80.3,14.67
Apple,20.6,61.2,pantry,perforated_bag,86.8,1.13
Apple,4.0,100.0,fridge,sealed_container,85.3,16.76
Apple,23.8,43.0,counter,perforated_bag,87.2,0.78
Apple,26.7,58.0,counter,sealed_container,69.8,0.35
Apple,5.4,78.8,fridge,unpackaged,50.7,2.9
Apple,29.5,55.7,counter,unpackaged,61.2,0.13
Apple,33.7,50.2,counter,perforated_bag,71.2,0.23
Apple,19.1,56.0,pantry,plastic_wrap,66.4,0.7
Apple,3.0,92.5,fridge,unpackaged,97.0,24.89
Apple,29.3,42.7,counter,perforated_bag,74.4,0.42
Apple,20.8,70.6,pantry,plastic_wrap,63.2,0.81
Apple,25.8,26.2,counter,unpackaged,77.8,0.48
Apple,2.8,79.6,fridge,plastic_wrap,88.6,22.14
Apple,19.2,53.4,pantry,perforated_bag,73.4,0.95
Apple,4.6,90.8,fridge,unpackaged,86.2,28.86
Apple,3.5,84.2,fridge,unpackaged,72.4,14.59
Apple,4.5,88.3,fridge,sealed_container,64.8,15.99
Apple,3.8,84.7,fridge,perforated_bag,71.0,15.93
Apple,4.4,83.5,fridge,plastic_wrap,82.3,16.52
Apple,23.7,52.5,pantry,perforated_bag,84.8,0.58
Apple,16.8,62.1,pantry,sealed_container,85.1,0.89
Apple,4.4,96.1,fridge,unpackaged,70.2,18.64
Apple,18.7,38.5,pantry,sealed_container,54.5,0.35
Apple,5.2,89.2,fridge,plastic_wrap,75.1,18.04
Apple,3.1,84.8,fridge,sealed_container,92.1,28.56
Apple,1.5,90.7,fridge,plastic_wrap,83.5,25.62
Apple,17.6,42.2,pantry,unpackaged,87.2,1.07
Apple,6.2,85.8,fridge,plastic_wrap,78.6,16.6
Apple,3.2,85.9,fridge,unpackaged,83.4,19.27
Apple,30.4,75.6,counter,sealed_container,81.0,0.9
Apple,3.7,82.4,fridge,plastic_wrap,58.7,12.21
Apple,22.1,75.5,pantry,perforated_bag,75.0,2.16
Apple,1.4,88.8,fridge,plastic_wrap,91.6,46.97
Apple,6.5,82.5,fridge,plastic_wrap,51.2,4.94
Apple,23.6,51.8,pantry,unpackaged,94.2,0.65
Apple,3.5,87.6,fridge,plastic_wrap,71.8,22.62
Apple,0.2,91.9,fridge,unpackaged,82.9,27.93
Apple,5.3,89.7,fridge,plastic_wrap,70.0,18.61
Apple,19.5,63.2,pantry,sealed_container,77.4,0.88
Apple,18.7,50.2,pantry,unpackaged,60.0,0.45
Apple,25.3,42.1,counter,perforated_bag,53.9,0.17
Apple,2.8,76.4,fridge,perforated_bag,76.6,14.11
Apple,3.6,82.8,fridge,unpackaged,74.1,18.87
Apple,17.3,60.6,pantry,plastic_wrap,75.3,0.99
Apple,2.4,87.9,fridge,plastic_wrap,78.4,21.98
Apple,5.0,86.2,fridge,plastic_wrap,68.9,19.38
Apple,1.8,83.4,fridge,sealed_container,67.4,17.76
Apple,19.4,31.6,counter,sealed_container,63.2,0.56
Apple,4.4,88.8,fridge,perforated_bag,65.4,20.13
Apple,0.6,93.0,fridge,unpackaged,81.0,20.53
Apple,5.4,97.0,fridge,perforated_bag,63.9,12.56
Apple,24.0,41.4,counter,perforated_bag,81.4,0.82
Apple,2.6,92.3,fridge,plastic_wrap,87.1,32.52
Apple,5.0,91.7,fridge,sealed_container,53.1,5.83
Apple,3.2,81.6,fridge,unpackaged,84.5,24.31
Apple,4.4,94.8,fridge,unpackaged,62.8,10.28
Apple,4.1,81.5,fridge,unpackaged,48.0,4.23
Apple,27.6,45.1,counter,perforated_bag,90.1,0.52
Apple,19.5,47.5,pantry,sealed_container,81.2,0.85
Apple,14.6,53.8,pantry,unpackaged,67.6,1.05
Apple,2.7,82.6,fridge,perforated_bag,74.5,23.31
Apple,23.3,53.7,pantry,perforated_bag,75.4,0.64
Apple,3.1,89.3,fridge,sealed_container,75.0,19.02
Apple,22.4,47.9,counter,plastic_wrap,94.4,0.78
Apple,2.3,77.4,fridge,unpackaged,85.2,15.7
Apple,3.8,94.1,fridge,perforated_bag,86.6,34.95
Apple,3.4,84.2,fridge,perforated_bag,87.1,26.54
Apple,6.8,86.3,fridge,unpackaged,73.8,17.52
Apple,24.5,49.4,counter,sealed_container,81.6,0.57
Apple,5.5,86.2,fridge,perforated_bag,65.8,15.9
Apple,4.0,89.7,fridge,plastic_wrap,83.8,18.4
Apple,20.1,27.7,counter,plastic_wrap,90.1,0.88
Apple,2.0,86.0,fridge,sealed_container,77.1,22.91
Apple,2.5,91.6,fridge,unpackaged,78.0,16.41
Apple,3.7,87.5,fridge,perforated_bag,89.9,32.25
Apple,19.6,30.9,counter,perforated_bag,62.4,0.73
Apple,0.2,79.5,fridge,unpackaged,81.8,19.25
Apple,4.1,86.4,fridge,unpackaged,80.9,17.82
Apple,1.7,89.9,fridge,sealed_container,85.9,28.57
Apple,3.1,98.3,fridge,unpackaged,59.9,10.67
Apple,21.0,49.8,counter,sealed_container,76.5,0.57
Apple,23.5,69.4,pantry,perforated_bag,68.4,0.56
Apple,2.7,88.6,fridge,perforated_bag,86.4,32.12
Apple,3.7,90.1,fridge,sealed_container,62.0,13.9
Apple,28.7,64.8,counter,plastic_wrap,64.0,0.28
Apple,3.9,92.7,fridge,plastic_wrap,91.7,32.6
Apple,23.6,57.9,pantry,unpackaged,79.2,0.55
Apple,25.5,20.0,counter,plastic_wrap,63.3,0.36
Apple,2.9,94.9,fridge,plastic_wrap,87.0,36.06
Apple,21.2,71.2,pantry,unpackaged,76.0,1.16
Apple,2.0,86.7,fridge,sealed_container,56.7,14.27
Apple,3.6,87.5,fridge,plastic_wrap,92.0,25.29
Apple,23.3,50.9,pantry,plastic_wrap,81.3,0.68
Apple,17.9,47.8,counter,unpackaged,88.7,1.12
Apple,4.5,86.5,fridge,perforated_bag,83.1,28.91
Apple,31.2,60.8,counter,plastic_wrap,80.2,0.34
Apple,4.2,92.1,fridge,plastic_wrap,82.7,21.99
Apple,5.0,88.0,fridge,sealed_container,83.3,19.37
Apple,21.1,42.7,pantry,unpackaged,65.9,0.44
Apple,19.8,32.7,counter,unpackaged,69.6,0.57
Apple,4.5,89.6,fridge,unpackaged,66.1,16.0
Apple,18.9,33.2,pantry,perforated_bag,82.1,1.22
Apple,24.8,39.0,counter,plastic_wrap,52.1,0.19
Apple,27.9,38.3,counter,unpackaged,89.0,0.35
Apple,5.0,88.5,fridge,sealed_container,72.1,14.32
Apple,26.2,33.5,counter,sealed_container,85.5,0.45
Apple,27.3,41.2,pantry,sealed_container,68.0,0.3
Apple,4.2,90.2,fridge,plastic_wrap,66.9,16.58
Apple,21.4,44.3,counter,plastic_wrap,72.2,0.67
Apple,23.7,42.6,counter,perforated_bag,74.3,0.44
Apple,4.3,94.6,fridge,unpackaged,81.9,18.0
Apple,25.0,43.2,counter,perforated_bag,69.4,0.47
Apple,15.8,39.6,pantry,sealed_container,64.7,0.73
Apple,4.0,92.0,fridge,sealed_container,97.4,32.14
Apple,4.7,92.9,fridge,perforated_bag,71.5,23.54
Apple,4.9,90.6,fridge,sealed_container,86.8,17.55
Apple,29.2,55.1,counter,plastic_wrap,85.6,0.38
Apple,3.6,88.5,fridge,perforated_bag,59.5,14.74
Apple,2.5,90.3,fridge,sealed_container,46.1,4.44
Apple,19.4,52.3,pantry,perforated_bag,64.2,0.63
Apple,20.4,41.8,counter,sealed_container,87.8,0.98
Apple,5.9,88.3,fridge,plastic_wrap,78.3,19.59
Apple,0.5,78.0,fridge,sealed_container,66.4,13.11
Apple,4.7,86.1,fridge,unpackaged,87.9,21.97
Apple,25.1,38.3,counter,unpackaged,76.4,0.44
Apple,29.9,20.0,counter,plastic_wrap,67.0,0.24
Apple,1.7,83.1,fridge,unpackaged,79.8,28.58
Apple,18.8,51.4,pantry,sealed_container,77.7,0.78
Apple,3.9,80.0,fridge,perforated_bag,80.1,19.4
Apple,4.6,81.4,fridge,plastic_wrap,83.6,20.71
Apple,1.9,86.4,fridge,perforated_bag,82.7,35.01
Apple,30.1,57.1,counter,sealed_container,56.4,0.19
Apple,2.2,83.4,fridge,sealed_container,66.7,13.53
Apple,3.3,90.1,fridge,unpackaged,89.3,23.57
Apple,2.7,99.4,fridge,unpackaged,69.1,15.72
Apple,3.7,84.4,fridge,perforated_bag,60.4,10.55
Apple,16.4,68.2,pantry,unpackaged,85.8,1.73
Apple,5.2,83.5,fridge,unpackaged,71.7,12.63
Apple,4.8,85.3,fridge,plastic_wrap,95.8,21.59
Apple,0.6,88.4,fridge,sealed_container,80.9,29.68
Apple,4.9,95.8,fridge,plastic_wrap,89.5,19.69
Apple,3.2,93.2,fridge,sealed_container,92.2,19.55
Apple,1.7,92.8,fridge,perforated_bag,80.3,28.26
Apple,17.8,48.7,pantry,sealed_container,73.9,1.01
Apple,5.5,88.5,fridge,plastic_wrap,66.7,14.51
Apple,19.7,46.6,pantry,sealed_container,81.3,0.85
Apple,6.2,86.1,fridge,sealed_container,92.1,18.19
Apple,3.1,96.1,fridge,sealed_container,52.6,9.56
Apple,15.9,54.6,counter,perforated_bag,48.5,0.38
Apple,4.0,98.0,fridge,sealed_container,69.4,12.78
Apple,13.6,57.6,pantry,perforated_bag,94.7,1.56
Apple,19.4,33.4,counter,sealed_container,73.7,0.49
Apple,27.0,42.0,counter,sealed_container,96.2,0.42
Apple,0.0,86.3,fridge,unpackaged,87.0,29.32
Apple,4.8,97.2,fridge,unpackaged,52.3,6.68
Apple,5.8,84.2,fridge,perforated_bag,73.8,13.53
Apple,5.5,89.5,fridge,perforated_bag,66.7,16.77
Apple,1.2,82.6,fridge,perforated_bag,74.8,27.24
Apple,25.9,52.9,counter,sealed_container,89.7,0.49
Apple,4.6,90.2,fridge,unpackaged,97.7,33.44
Apple,2.9,92.6,fridge,perforated_bag,91.1,32.67
Apple,18.8,49.2,counter,unpackaged,63.5,0.51
Apple,22.4,42.0,counter,sealed_container,76.3,0.63
Apple,27.4,40.4,counter,perforated_bag,94.6,0.69
Apple,27.8,26.8,counter,plastic_wrap,95.5,0.55
Apple,23.9,49.4,counter,plastic_wrap,79.6,0.61
Apple,28.9,20.0,counter,perforated_bag,76.7,0.37
Apple,4.1,94.2,fridge,perforated_bag,86.5,23.57
Apple,29.9,38.5,counter,unpackaged,63.6,0.14
Apple,26.4,42.8,counter,perforated_bag,95.7,0.75
Apple,3.7,85.5,fridge,sealed_container,65.7,16.28
Apple,26.6,44.9,counter,sealed_container,87.2,0.59
Apple,29.0,61.4,counter,unpackaged,59.1,0.23
Apple,5.5,88.1,fridge,plastic_wrap,79.5,22.09
Apple,4.3,83.4,fridge,sealed_container,75.9,18.96
Apple,22.2,52.3,pantry,sealed_container,60.4,0.27
Apple,3.9,85.8,fridge,unpackaged,97.9,21.16
Apple,3.0,89.8,fridge,perforated_bag,67.4,21.36
Apple,7.5,95.6,fridge,perforated_bag,90.8,18.59
Apple,4.8,87.5,fridge,perforated_bag,75.7,21.83
Apple,24.4,66.4,counter,sealed_container,83.2,0.6
Apple,20.6,50.5,counter,perforated_bag,78.4,0.68
Apple,1.9,79.2,fridge,sealed_container,62.0,12.82
Apple,13.2,53.1,pantry,perforated_bag,60.6,0.8
Apple,6.6,90.2,fridge,plastic_wrap,79.1,19.28
Apple,22.3,46.9,pantry,sealed_container,77.4,0.6
Apple,3.1,87.9,fridge,plastic_wrap,79.8,21.83
Apple,2.3,89.6,fridge,perforated_bag,87.6,28.68
Apple,21.5,60.9,counter,perforated_bag,64.7,0.54
Apple,0.8,87.8,fridge,unpackaged,69.5,22.4
Apple,5.3,78.0,fridge,plastic_wrap,67.8,10.27
Apple,29.2,41.2,counter,unpackaged,99.0,0.29
Apple,23.2,39.9,counter,sealed_container,76.8,0.61
Apple,0.8,91.1,fridge,plastic_wrap,80.4,37.56
Apple,32.0,33.5,counter,plastic_wrap,86.9,0.23
Apple,30.1,41.9,counter,unpackaged,74.7,0.26
Apple,19.3,37.2,pantry,plastic_wrap,80.0,0.97
Apple,1.6,84.4,fridge,perforated_bag,74.8,21.08
Apple,17.8,62.7,pantry,sealed_container,87.5,1.0
Apple,24.6,35.2,counter,sealed_container,67.8,0.34
Apple,24.6,53.8,counter,sealed_container,75.8,0.45
Apple,21.0,54.9,pantry,perforated_bag,66.7,0.62
Apple,0.7,89.7,fridge,sealed_container,66.4,20.76
Apple,21.2,43.6,counter,plastic_wrap,73.6,0.76
Apple,3.3,81.1,fridge,perforated_bag,89.3,24.12
Apple,21.1,59.5,pantry,perforated_bag,92.0,1.23
Apple,19.8,66.3,pantry,plastic_wrap,77.1,0.64
Apple,6.0,90.5,fridge,unpackaged,91.3,19.69
Apple,3.6,87.8,fridge,sealed_container,62.2,12.51
Apple,8.4,79.1,fridge,perforated_bag,53.8,5.46
Apple,22.3,66.8,pantry,plastic_wrap,91.7,0.98
Apple,30.4,49.5,counter,sealed_container,70.9,0.21
Apple,19.9,57.8,pantry,sealed_container,92.9,0.67
Apple,4.0,87.0,fridge,sealed_container,87.8,16.49
Apple,1.8,88.3,fridge,perforated_bag,78.3,36.67
Apple,3.0,85.5,fridge,sealed_container,85.3,22.6
Apple,1.6,89.9,fridge,unpackaged,94.3,36.17
Apple,33.5,31.8,counter,plastic_wrap,77.3,0.27
Apple,4.3,88.0,fridge,perforated_bag,70.0,18.3
Apple,1.6,88.7,fridge,sealed_container,86.2,22.3
Apple,21.1,47.7,pantry,plastic_wrap,52.3,0.23
Apple,18.4,67.3,pantry,plastic_wrap,72.7,0.86
Apple,3.8,92.4,fridge,unpackaged,55.6,7.68
Apple,21.9,30.0,counter,perforated_bag,86.5,1.12
Apple,4.3,82.4,fridge,perforated_bag,84.5,23.17
Apple,20.7,74.0,pantry,unpackaged,82.5,2.28
Apple,21.7,20.0,counter,plastic_wrap,80.7,0.72
Apple,24.5,38.0,counter,sealed_container,64.3,0.27
Apple,1.9,84.7,fridge,plastic_wrap,97.1,40.03
Apple,2.6,85.4,fridge,unpackaged,82.3,22.94
Apple,19.4,40.6,pantry,sealed_container,76.4,0.84
Apple,3.7,83.9,fridge,sealed_container,63.4,15.69
Apple,18.8,53.1,counter,plastic_wrap,89.1,1.0
Apple,18.5,63.9,pantry,plastic_wrap,91.4,1.04
Apple,5.6,91.1,fridge,perforated_bag,82.0,30.5
Apple,20.2,43.2,pantry,perforated_bag,83.8,0.81
Apple,3.8,81.9,fridge,perforated_bag,67.1,13.86
Apple,18.6,55.7,pantry,sealed_container,78.1,0.95
Apple,18.6,47.5,counter,plastic_wrap,81.4,1.2
Apple,4.1,75.8,fridge,perforated_bag,78.0,14.79
Apple,17.6,48.6,counter,sealed_container,66.8,0.51
Apple,4.4,86.5,fridge,perforated_bag,53.4,9.69
Apple,3.2,85.8,fridge,perforated_bag,82.1,29.77
Apple,18.8,55.9,pantry,unpackaged,91.2,0.98
Apple,22.9,35.5,pantry,unpackaged,67.2,0.44
Apple,4.3,85.7,fridge,sealed_container,97.2,26.98
Apple,13.7,62.7,pantry,sealed_container,66.2,1.06
Apple,26.7,55.3,counter,unpackaged,96.5,0.49
Apple,20.2,43.8,pantry,sealed_container,79.7,0.79
Apple,4.3,86.7,fridge,perforated_bag,72.1,19.17
Apple,5.3,80.5,fridge,perforated_bag,76.3,11.2
Apple,16.6,51.2,pantry,sealed_container,64.7,0.73
Apple,5.0,90.4,fridge,plastic_wrap,80.8,21.94
Apple,25.6,28.2,counter,unpackaged,76.2,0.5
Apple,25.2,46.9,counter,plastic_wrap,64.8,0.4
Apple,4.4,92.4,fridge,sealed_container,84.9,18.16
Apple,16.7,53.8,counter,perforated_bag,77.4,1.44
Apple,5.1,95.1,fridge,plastic_wrap,51.4,5.09
Apple,16.8,57.0,pantry,perforated_bag,87.5,1.5
Apple,2.8,82.3,fridge,perforated_bag,54.7,9.89
Apple,4.7,85.8,fridge,unpackaged,88.0,19.48
Apple,4.9,87.3,fridge,plastic_wrap,93.7,27.0
Apple,18.6,59.4,pantry,sealed_container,95.1,1.14
Apple,0.0,94.0,fridge,sealed_container,75.3,30.86
Apple,1.8,82.5,fridge,perforated_bag,85.1,20.68
Apple,3.9,82.0,fridge,sealed_container,85.2,21.36
Apple,1.4,86.0,fridge,sealed_container,93.1,37.38
Apple,6.4,87.8,fridge,unpackaged,68.1,11.28
Apple,24.4,30.3,counter,sealed_container,96.8,0.6
Apple,2.9,83.5,fridge,plastic_wrap,77.3,22.33
Apple,1.3,84.7,fridge,unpackaged,78.8,20.34
Apple,2.2,86.6,fridge,unpackaged,90.3,25.46
Apple,3.6,84.3,fridge,unpackaged,55.2,9.42
Apple,3.4,92.0,fridge,perforated_bag,69.8,22.61
Apple,16.0,62.7,pantry,perforated_bag,60.5,0.82
Apple,4.7,88.9,fridge,sealed_container,73.8,16.98
Apple,3.6,89.0,fridge,sealed_container,72.5,16.79
Apple,4.6,90.7,fridge,plastic_wrap,81.4,23.92
Apple,4.5,87.5,fridge,unpackaged,92.4,31.22
Apple,3.0,90.2,fridge,perforated_bag,72.2,28.88
Apple,2.3,93.9,fridge,unpackaged,71.7,15.95
Apple,26.6,44.9,counter,perforated_bag,69.2,0.39
Apple,4.9,90.4,fridge,sealed_container,78.2,16.88
Apple,3.9,81.3,fridge,unpackaged,69.8,9.26
Apple,3.3,94.5,fridge,plastic_wrap,65.3,18.79
Apple,4.2,91.7,fridge,perforated_bag,65.0,15.37
Apple,5.4,91.3,fridge,perforated_bag,84.7,22.23
Apple,2.5,91.3,fridge,plastic_wrap,90.9,27.35
Apple,2.2,93.8,fridge,unpackaged,67.9,19.2
Apple,22.0,23.3,counter,unpackaged,84.6,0.52
Apple,4.4,89.9,fridge,perforated_bag,79.3,24.5
Apple,19.9,60.3,pantry,perforated_bag,54.3,0.32
Apple,3.6,88.3,fridge,plastic_wrap,65.6,17.75
Apple,0.8,83.4,fridge,plastic_wrap,52.4,9.11
Apple,23.1,62.8,pantry,unpackaged,78.3,0.5
Apple,4.7,89.0,fridge,perforated_bag,90.7,32.81
Apple,22.4,63.7,pantry,sealed_container,92.4,0.53
Apple,25.0,24.4,counter,plastic_wrap,53.7,0.22
Apple,24.2,44.5,pantry,perforated_bag,59.7,0.37
Apple,4.7,92.6,fridge,plastic_wrap,74.4,19.14
Apple,24.4,47.6,counter,plastic_wrap,75.6,0.56
Apple,2.8,88.3,fridge,plastic_wrap,63.3,23.19
Apple,4.6,93.3,fridge,perforated_bag,68.8,24.42
Apple,21.0,47.0,pantry,unpackaged,79.0,0.74
Apple,29.0,43.9,counter,unpackaged,92.4,0.5
Apple,2.9,84.5,fridge,plastic_wrap,87.7,25.94
Apple,3.9,91.7,fridge,perforated_bag,61.2,13.59
Apple,26.4,49.0,counter,unpackaged,84.7,0.39
Apple,2.6,94.5,fridge,perforated_bag,77.6,29.28
Apple,8.2,79.5,fridge,perforated_bag,71.3,8.9
Apple,3.6,81.9,fridge,sealed_container,90.8,21.24
Apple,21.5,61.0,pantry,unpackaged,72.3,0.56
Apple,2.5,79.3,fridge,perforated_bag,89.9,23.42
Banana,7.0,90.7,fridge,plastic_wrap,56.5,0.84
Banana,4.3,78.7,fridge,plastic_wrap,69.0,1.06
Banana,2.8,85.3,fridge,sealed_container,73.9,2.22
Banana,22.8,39.5,counter,sealed_container,87.0,0.08
Banana,5.2,92.9,fridge,sealed_container,59.3,0.98
Banana,4.0,87.5,fridge,plastic_wrap,84.9,2.13
Banana,17.7,55.9,pantry,perforated_bag,89.6,0.15
Banana,4.9,98.9,fridge,sealed_container,82.8,1.6
Banana,2.1,95.9,fridge,plastic_wrap,59.3,1.48
Banana,17.3,52.0,pantry,unpackaged,95.2,0.11
Banana,22.8,59.9,pantry,perforated_bag,85.0,0.07
Banana,5.7,82.8,fridge,unpackaged,85.8,1.81
Banana,5.6,82.1,fridge,sealed_container,75.8,1.56
Banana,14.5,35.6,counter,perforated_bag,74.1,0.14
Banana,5.2,91.0,fridge,unpackaged,78.0,1.82
Banana,2.4,91.2,fridge,sealed_container,58.3,1.47
Banana,18.9,67.6,counter,unpackaged,78.1,0.1
Banana,5.7,89.4,fridge,perforated_bag,75.7,2.36
Banana,33.1,56.7,counter,perforated_bag,64.4,0.02
Banana,18.7,66.6,pantry,unpackaged,57.1,0.06
Banana,22.0,41.3,counter,sealed_container,89.0,0.05
Banana,4.6,85.5,fridge,unpackaged,77.8,1.88
Banana,25.0,54.9,counter,sealed_container,77.4,0.05
Banana,21.1,52.1,pantry,unpackaged,75.3,0.08
Banana,4.6,94.3,fridge,perforated_bag,68.5,1.33
Banana,0.7,95.3,fridge,plastic_wrap,62.2,2.24
Banana,17.8,48.1,counter,perforated_bag,55.2,0.06
Banana,27.3,57.6,counter,unpackaged,57.6,0.03
Banana,13.8,53.1,pantry,plastic_wrap,97.3,0.2
Banana,6.3,91.7,fridge,perforated_bag,81.2,2.54
Banana,20.6,43.1,pantry,unpackaged,80.0,0.08
Banana,6.4,95.8,fridge,unpackaged,95.4,1.83
Banana,7.8,95.4,fridge,plastic_wrap,79.1,1.36
Banana,19.6,42.1,counter,unpackaged,86.1,0.11
Banana,14.2,51.1,counter,unpackaged,82.3,0.14
Banana,27.2,26.6,counter,perforated_bag,71.6,0.05
Banana,17.6,53.0,counter,plastic_wrap,85.8,0.09
Banana,1.5,89.5,fridge,plastic_wrap,77.5,2.58
Banana,3.7,84.8,fridge,sealed_container,83.0,2.48
Banana,17.9,46.3,pantry,perforated_bag,59.9,0.07
Banana,0.4,85.3,fridge,plastic_wrap,81.1,2.46
Banana,23.3,68.6,pantry,unpackaged,81.1,0.05
Banana,0.5,78.7,fridge,plastic_wrap,73.5,1.55
Banana,5.7,98.5,fridge,perforated_bag,93.2,2.05
Banana,1.7,93.1,fridge,unpackaged,74.0,2.28
Banana,20.1,48.3,counter,sealed_container,55.6,0.04
Banana,26.3,33.3,counter,perforated_bag,87.8,0.08
Banana,3.3,91.8,fridge,unpackaged,88.1,2.49
Banana,4.8,83.9,fridge,unpackaged,82.6,2.1
Banana,1.2,78.4,fridge,perforated_bag,67.6,1.14
Banana,2.2,84.5,fridge,sealed_container,63.9,1.89
Banana,4.0,85.7,fridge,unpackaged,63.2,1.43
Banana,20.4,45.4,counter,perforated_bag,82.5,0.11
Banana,6.7,83.6,fridge,perforated_bag,86.6,1.99
Banana,3.8,88.5,fridge,unpackaged,72.3,1.95
